entity_type,name
microbe,Streptococcus sanguis
microbe,Streptococcus sp oral taxon 058
microbe,Streptococcus sp. oral taxon 058
microbe,Streptococcus species
microbe,Streptococcus spp
microbe,Streptococcus thermophilus
microbe,Streptomyces
microbe,Streptophyta
microbe,Subdoligranulum
microbe,Succinivibrio
microbe,Sulfuricurvum
microbe,Sutterella
microbe,Sutterella spp.
microbe,Synergistetes
microbe,Synergistetes phylum
microbe,Syntrophomonadaceae family
microbe,Syntrophomonas
microbe,TM7
microbe,Tannerella
microbe,Tannerella forsythia
microbe,Tenericutes
microbe,Terrisporobacter
microbe,Thiobacillus
microbe,Tissierella Soehngenia genus
microbe,Tissierellaceae
microbe,Treponema
microbe,Treponema denticola
microbe,Trichomonas vaginalis
microbe,Turicibacter
microbe,Turicibacter spp
microbe,Turicibacteriaceae
microbe,Tyzzerella_3
microbe,Ureaplasma
microbe,Veillonella
microbe,Veillonella dispar
microbe,Veillonella parvula
microbe,Veillonella spp
microbe,Veillonella spp.
microbe,Veillonellaceae
microbe,Veilonella
microbe,Veilonella dispar
microbe,Verrucomicrobia
microbe,Verrucomicrobiaceae
microbe,Verrucomicrobiae
microbe,Verrucomicrobium
microbe,Vibrio cholerae O1
microbe,Vibrio parahaemolyticus
microbe,Vibrio vulnificus
microbe,Weissella
microbe,Wolbachia
microbe,Xylariales
microbe,Yersinia Enterocolitica
microbe,Yersinia enterocolitica
microbe,Yersinia sp.
microbe,adherent-invasive Escherichia coli
microbe,alpha-Proteobacteria
microbe,arabacteroides
microbe,bacteria producing short chain fatty acids
microbe,bacterial species (unspecified)
microbe,bacterial translocation
microbe,bacteriophages
microbe,butyrate-producing bacteria
microbe,cecal microbiota
microbe,commensal microbes
microbe,f_Ruminococcaceae
microbe,facultative anaerobe
microbe,fecal microbiota
microbe,gamma-proteobacteria
microbe,gut microbes
microbe,gut microbiome
microbe,gut microbiota
microbe,gut microbiota from dusp6 deficient mice
microbe,herpes viruses
microbe,human firmicute strain CO19
microbe,human papillomavirus
microbe,human papillomavirus 16
microbe,human papillomaviruses
microbe,intestinal bacterial communities
microbe,intestinal commensal bacteria
microbe,intestinal commensals
microbe,intestinal dysbiosis
microbe,intestinal microbiota
microbe,lactate-producing bacteria
microbe,lactate-utilising bacteria
microbe,lactic acid bacteria
microbe,methanogen
microbe,methanogens
microbe,microbiota dysbiosis
microbe,obligate anaerobe
microbe,opportunistic oral pathogens
microbe,opportunistic pathogens
microbe,oral bacteria
microbe,polyomaviruses
microbe,probiotic mixture
microbe,probiotics
microbe,probiotics and Garcinia cambogia extract
microbe,reductive acetogens
microbe,segmented filamentous bacteria
microbe,staphylococci
microbe,sulfate reducing bacteria
microbe,sulphate-reducing population
microbe,toxigenic Bacteroides fragilis
microbe,unclassified Clostridiaceae
microbe,unclassified Firmicutes
microbe,unclassified Lachnospiraceae
microbe,unclassified Rikenellaceae
microbe,uncultured Clostridiales II
microbe,uncultured Coriobacteria
microbe,vancomycin-resistant enterococci
disease,ADHD
