"disease","disease_external_has_mesh_id","disease_external_has_mesh_heading","disease_external_has_scientific_name","disease_external_has_hsdn","disease_external_hsdn_symptom_count","disease_external_pubmed_occurrence_sum","disease_external_tfidf_sum"
"Halitosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hand, foot and mouth disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hashimoto thyroiditis","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hashimoto's thyroiditis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Head and Neck Squamous Cell Cancer","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Head/Neck cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Heart failure","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Helicobacter pylori infection","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Henoch-Schönlein Purpura","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatic encephalopathy","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatitis B","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatitis B associated liver failure","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatitis C","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatocellular cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hepatocellular carcinoma","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hidradenitis suppurativa","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hirschsprung disease","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Hirschsprung's disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
